Year,Date,Product,Overall Range Min,Overall Range Max,Common Price
2020,2020-10-29,Kerosene,34.04,46.6,
2020,2020-10-22,Gasoline (RON97/100),41.75,53.51,50.95
2020,2020-10-22,Gasoline (RON95),39.12,53.25,47.96
2020,2020-10-22,Gasoline (RON91),38.13,51.51,46.2
2020,2020-10-22,Diesel,27.78,37.52,33.69
2020,2020-10-22,Diesel Plus,32.15,38.17,36.47
2020,2020-10-22,Kerosene,34.19,46.75,
2020,2020-10-15,Gasoline (RON97/100),42.0,53.76,51.2
2020,2020-10-15,Gasoline (RON95),40.35,53.5,48.28
2020,2020-10-15,Gasoline (RON91),39.35,51.76,47.2
2020,2020-10-15,Diesel,29.0,37.27,34.4
2020,2020-10-15,Diesel Plus,31.9,37.92,35.78
2020,2020-10-15,Kerosene,33.99,46.55,
2020,2020-10-08,Gasoline (RON97/100),44.85,54.18,51.31
2020,2020-10-08,Gasoline (RON95),40.05,53.6,48.05
2020,2020-10-08,Gasoline (RON91),39.05,51.86,46.95
2020,2020-10-08,Diesel,27.78,37.64,33.94
2020,2020-10-08,Diesel Plus,31.45,37.98,35.6
2020,2020-10-08,Kerosene,33.44,46.0,
2020,2020-10-01,Gasoline (RON97/100),44.75,54.08,50.45
2020,2020-10-01,Gasoline (RON95),39.95,53.5,48.28
2020,2020-10-01,Gasoline (RON91),38.95,51.76,48.96
2020,2020-10-01,Diesel,27.78,37.64,33.75
2020,2020-10-01,Diesel Plus,31.45,37.98,35.51
2020,2020-10-01,Kerosene,33.24,45.8,
2020,2020-09-24,Gasoline (RON97/100),46.2,53.88,49.5
2020,2020-09-24,Gasoline (RON95),39.5,53.3,48.28
2020,2020-09-24,Gasoline (RON91),38.5,51.5,48.56
2020,2020-09-24,Diesel,27.58,37.59,34.78
2020,2020-09-24,Diesel Plus,31.5,37.93,35.7
2020,2020-09-24,Kerosene,32.79,45.35,
2020,2020-09-17,Gasoline (RON97/100),45.6,58.24,48.9
2020,2020-09-17,Gasoline (RON95),39.5,52.7,47.68
2020,2020-09-17,Gasoline (RON91),38.5,50.96,47.96
2020,2020-09-17,Diesel,27.58,37.39,34.58
2020,2020-09-17,Diesel Plus,31.3,37.73,35.5
2020,2020-09-17,Kerosene,32.24,44.8,
2020,2020-09-10,Gasoline (RON97/100),44.95,54.28,51.87
2020,2020-09-10,Gasoline (RON95),40.5,53.95,48.67
2020,2020-09-10,Gasoline (RON91),39.5,52.35,49.39
2020,2020-09-10,Diesel,29.08,38.89,34.92
2020,2020-09-10,Diesel Plus,32.85,39.37,37.22
2020,2020-09-10,Kerosene,33.69,46.25,
2020,2020-09-03,Gasoline (RON97/100),45.25,55.76,50.2
2020,2020-09-03,Gasoline (RON95),40.85,55.55,51.35
2020,2020-09-03,Gasoline (RON91),39.85,53.75,49.9
2020,2020-09-03,Diesel,30.0,39.34,35.75
2020,2020-09-03,Diesel Plus,33.3,40.21,36.75
2020,2020-09-03,Kerosene,34.24,46.8,
2020,2020-08-27,Gasoline (RON97/100),45.12,55.98,52.86
2020,2020-08-27,Gasoline (RON95),41.22,55.52,51.7
2020,2020-08-27,Gasoline (RON91),39.72,53.62,50.01
2020,2020-08-27,Diesel,30.0,39.53,36.46
2020,2020-08-27,Diesel Plus,33.45,40.96,38.44
2020,2020-08-27,Kerosene,34.42,46.97,
2020,2020-08-20,Gasoline (RON97/100),45.0,56.2,55.51
2020,2020-08-20,Gasoline (RON95),41.6,55.48,52.06
2020,2020-08-20,Gasoline (RON91),39.6,53.5,50.12
2020,2020-08-20,Diesel,30.0,39.72,37.16
2020,2020-08-20,Diesel Plus,33.6,41.72,40.14
2020,2020-08-20,Kerosene,34.59,47.15,
2020,2020-08-13,Gasoline (RON97/100),44.4,55.6,51.1
2020,2020-08-13,Gasoline (RON95),41.55,54.7,49.5
2020,2020-08-13,Gasoline (RON91),40.55,52.88,48.47
2020,2020-08-13,Diesel,30.0,40.58,37.06
2020,2020-08-13,Diesel Plus,35.2,42.58,39.67
2020,2020-08-13,Kerosene,34.59,47.15,
2020,2020-08-06,Gasoline (RON97/100),44.15,55.59,
2020,2020-08-06,Gasoline (RON95),41.3,54.45,51.32
2020,2020-08-06,Gasoline (RON91),40.3,52.55,48.02
2020,2020-08-06,Diesel,30.0,40.78,38.49
2020,2020-08-06,Diesel Plus,35.3,42.78,
2020,2020-08-06,Kerosene,34.94,47.65,
2020,2020-07-28,Gasoline (RON97/100),44.4,55.84,
2020,2020-07-28,Gasoline (RON95),41.55,54.7,49.16
2020,2020-07-28,Gasoline (RON91),40.55,52.9,44.42
2020,2020-07-28,Diesel,30.25,41.08,39.12
2020,2020-07-28,Diesel Plus,35.6,43.08,41.22
2020,2020-07-28,Kerosene,35.09,47.4,
2020,2020-07-23,Gasoline (RON97/100),44.1,55.54,
2020,2020-07-23,Gasoline (RON95),41.25,54.4,48.8
2020,2020-07-23,Gasoline (RON91),40.25,52.6,46.58
2020,2020-07-23,Diesel,30.0,40.83,
2020,2020-07-23,Diesel Plus,35.35,42.83,40.97
2020,2020-07-23,Kerosene,34.79,47.2,
2020,2020-07-16,Gasoline (RON97/100),44.2,55.64,
2020,2020-07-16,Gasoline (RON95),41.35,54.5,48.9
2020,2020-07-16,Gasoline (RON91),40.35,52.7,46.68
2020,2020-07-16,Diesel,30.0,40.83,
2020,2020-07-16,Diesel Plus,31.87,42.83,40.97
2020,2020-07-16,Kerosene,34.64,47.2,
2020,2020-07-09,Gasoline (RON97/100),43.55,55.02,50.84
2020,2020-07-09,Gasoline (RON95),40.7,53.21,50.84
2020,2020-07-09,Gasoline (RON91),39.7,51.96,49.82
2020,2020-07-09,Diesel,30.0,40.53,37.34
2020,2020-07-09,Diesel Plus,35.05,42.53,40.4
2020,2020-07-09,Kerosene,34.24,46.8,
2020,2020-07-02,Gasoline (RON97/100),44.2,55.4,53.1
2020,2020-07-02,Gasoline (RON95),41.35,53.86,49.8
2020,2020-07-02,Gasoline (RON91),40.35,52.61,50.31
2020,2020-07-02,Diesel,31.5,40.53,36.76
2020,2020-07-02,Diesel Plus,35.05,42.53,40.38
2020,2020-07-02,Kerosene,34.64,43.84,
2020,2020-06-25,Gasoline (RON97/100),43.5,54.94,
2020,2020-06-25,Gasoline (RON95),39.1,53.16,50.08
2020,2020-06-25,Gasoline (RON91),38.1,51.91,48.75
2020,2020-06-25,Diesel,29.55,39.04,35.38
2020,2020-06-25,Diesel Plus,34.75,41.47,40.63
2020,2020-06-25,Kerosene,34.24,46.8,
2020,2020-06-18,Gasoline (RON97/100),42.45,52.03,48.12
2020,2020-06-18,Gasoline (RON95),40.35,51.61,46.78
2020,2020-06-18,Gasoline (RON91),39.95,50.76,47.27
2020,2020-06-18,Diesel,29.55,37.88,34.47
2020,2020-06-18,Diesel Plus,34.33,40.5,37.63
2020,2020-06-18,Kerosene,33.94,45.75,
2020,2020-06-11,Gasoline (RON97/100),42.4,50.78,46.87
2020,2020-06-11,Gasoline (RON95),38.05,50.16,45.65
2020,2020-06-11,Gasoline (RON91),37.25,49.51,46.14
2020,2020-06-11,Diesel,27.9,36.68,33.58
2020,2020-06-11,Diesel Plus,33.23,38.68,36.9
2020,2020-06-11,Kerosene,33.19,45.75,
2020,2020-06-04,Gasoline (RON97/100),40.65,49.61,45.12
2020,2020-06-04,Gasoline (RON95),36.3,48.41,43.9
2020,2020-06-04,Gasoline (RON91),35.5,47.76,44.4
2020,2020-06-04,Diesel,26.8,36.97,32.48
2020,2020-06-04,Diesel Plus,32.13,37.58,35.8
2020,2020-06-04,Kerosene,31.68,44.75,
2020,2020-05-28,Gasoline (RON97/100),37.5,49.5,46.89
2020,2020-05-28,Gasoline (RON95),36.72,48.81,45.51
2020,2020-05-28,Gasoline (RON91),36.15,47.96,44.6
2020,2020-05-28,Diesel,25.65,35.37,32.23
2020,2020-05-28,Diesel Plus,31.88,39.08,35.55
2020,2020-05-28,Kerosene,30.88,40.99,
2020,2020-05-21,Gasoline (RON97/100),35.75,47.75,45.14
2020,2020-05-21,Gasoline (RON95),35.62,47.06,42.35
2020,2020-05-21,Gasoline (RON91),34.4,46.21,42.84
2020,2020-05-21,Diesel,23.55,33.27,30.13
2020,2020-05-21,Diesel Plus,29.78,36.98,33.45
2020,2020-05-21,Kerosene,28.23,38.34,
2020,2020-05-14,Gasoline (RON97/100),35.12,45.86,44.25
2020,2020-05-14,Gasoline (RON95),33.67,45.44,41.43
2020,2020-05-14,Gasoline (RON91),32.81,44.58,41.15
2020,2020-05-14,Diesel,23.28,32.12,29.32
2020,2020-05-14,Diesel Plus,27.2,36.03,31.79
2020,2020-05-14,Kerosene,26.68,37.62,
2020,2020-05-06,Gasoline (RON97/100),34.5,43.98,43.36
2020,2020-05-06,Gasoline (RON95),31.72,43.81,40.51
2020,2020-05-06,Gasoline (RON91),31.22,42.96,39.46
2020,2020-05-06,Diesel,23.0,30.98,28.51
2020,2020-05-06,Diesel Plus,24.63,35.08,30.12
2020,2020-05-06,Kerosene,25.14,36.9,
2020,2020-04-29,Gasoline (RON97/100),33.75,43.23,42.61
2020,2020-04-29,Gasoline (RON95),30.97,43.06,40.15
2020,2020-04-29,Gasoline (RON91),30.47,42.21,39.17
2020,2020-04-29,Diesel,23.1,31.08,28.61
2020,2020-04-29,Diesel Plus,27.43,35.18,31.47
2020,2020-04-29,Kerosene,25.23,37.5,
2020,2020-04-21,Gasoline (RON97/100),33.95,43.43,42.81
2020,2020-04-21,Gasoline (RON95),31.17,42.92,41.37
2020,2020-04-21,Gasoline (RON91),30.67,41.86,39.35
2020,2020-04-21,Diesel,24.9,32.88,29.98
2020,2020-04-21,Diesel Plus,29.23,36.98,30.78
2020,2020-04-21,Kerosene,27.38,39.1,
2020,2020-04-16,Gasoline (RON97/100),34.5,43.98,43.36
2020,2020-04-16,Gasoline (RON95),31.72,43.81,42.22
2020,2020-04-16,Gasoline (RON91),31.22,42.76,39.92
2020,2020-04-16,Diesel,26.05,34.03,31.13
2020,2020-04-16,Diesel Plus,30.38,38.13,31.93
2020,2020-04-16,Kerosene,27.98,40.0,
2020,2020-04-08,Gasoline (RON97/100),33.95,43.43,42.81
2020,2020-04-08,Gasoline (RON95),31.17,42.92,41.67
2020,2020-04-08,Gasoline (RON91),30.67,41.86,39.37
2020,2020-04-08,Diesel,25.9,34.27,30.98
2020,2020-04-08,Diesel Plus,30.23,37.98,31.78
2020,2020-04-08,Kerosene,28.18,40.2,
2020,2020-04-01,Gasoline (RON97/100),34.3,43.78,41.52
2020,2020-04-01,Gasoline (RON95),31.52,45.27,40.77
2020,2020-04-01,Gasoline (RON91),31.02,43.77,39.33
2020,2020-04-01,Diesel,26.6,35.08,31.68
2020,2020-04-01,Diesel Plus,30.83,39.18,32.93
2020,2020-04-01,Kerosene,28.93,40.65,
2020,2020-03-25,Gasoline (RON97/100),36.3,45.78,45.16
2020,2020-03-25,Gasoline (RON95),35.27,48.77,43.05
2020,2020-03-25,Gasoline (RON91),34.5,47.25,43.28
2020,2020-03-25,Diesel,26.8,37.08,32.18
2020,2020-03-25,Diesel Plus,31.33,41.18,32.98
2020,2020-03-25,Kerosene,30.88,42.15,
2020,2020-03-17,Gasoline (RON97/100),41.5,48.95,48.41
2020,2020-03-17,Gasoline (RON95),37.02,48.77,46.64
2020,2020-03-17,Gasoline (RON91),36.52,47.07,45.86
2020,2020-03-17,Diesel,29.5,37.53,34.53
2020,2020-03-17,Diesel Plus,33.18,41.18,37.47
2020,2020-03-17,Kerosene,34.89,50.0,
2020,2020-03-12,Gasoline (RON97/100),44.05,53.8,
2020,2020-03-12,Gasoline (RON95),41.27,53.01,49.87
2020,2020-03-12,Gasoline (RON91),40.77,51.96,47.87
2020,2020-03-12,Diesel,32.8,41.17,37.06
2020,2020-03-12,Diesel Plus,37.43,42.11,39.88
2020,2020-03-12,Kerosene,38.73,50.0,
2020,2020-03-05,Gasoline (RON97/100),45.25,55.0,
2020,2020-03-05,Gasoline (RON95),42.47,54.21,51.07
2020,2020-03-05,Gasoline (RON91),41.97,53.16,49.81
2020,2020-03-05,Diesel,34.1,41.92,37.6
2020,2020-03-05,Diesel Plus,36.5,42.42,40.58
2020,2020-03-05,Kerosene,39.78,50.8,
2020,2020-02-28,Gasoline (RON97/100),48.4,56.4,
2020,2020-02-28,Gasoline (RON95),43.87,55.61,52.2
2020,2020-02-28,Gasoline (RON91),43.37,54.56,51.23
2020,2020-02-28,Diesel,35.9,49.75,39.46
2020,2020-02-28,Diesel Plus,38.1,44.13,42.18
2020,2020-02-28,Kerosene,41.43,51.0,
2020,2020-02-18,Gasoline (RON97/100),46.35,56.71,
2020,2020-02-18,Gasoline (RON95),42.87,55.77,51.05
2020,2020-02-18,Gasoline (RON91),42.37,54.69,50.84
2020,2020-02-18,Diesel,35.5,43.32,39.18
2020,2020-02-18,Diesel Plus,37.9,44.28,41.98
2020,2020-02-18,Kerosene,41.1,50.65,42.1
2020,2020-02-12,Gasoline (RON97/100),46.0,55.35,51.9
2020,2020-02-12,Gasoline (RON95),42.75,55.42,51.77
2020,2020-02-12,Gasoline (RON91),42.15,54.34,50.22
2020,2020-02-12,Diesel,35.6,43.42,40.1
2020,2020-02-12,Diesel Plus,38.0,45.36,42.08
2020,2020-02-12,Kerosene,40.72,50.75,
2020,2020-02-05,Gasoline (RON97/100),46.75,55.65,52.2
2020,2020-02-05,Gasoline (RON95),42.4,54.66,52.36
2020,2020-02-05,Gasoline (RON91),41.9,53.52,50.55
2020,2020-02-05,Diesel,36.1,42.96,40.12
2020,2020-02-05,Diesel Plus,38.6,45.36,42.73
2020,2020-02-05,Kerosene,42.12,50.9,
2020,2020-01-30,Gasoline (RON97/100),48.75,57.25,53.8
2020,2020-01-30,Gasoline (RON95),44.0,56.89,52.99
2020,2020-01-30,Gasoline (RON91),43.5,55.74,51.62
2020,2020-01-30,Diesel,37.85,45.44,41.22
2020,2020-01-30,Diesel Plus,40.6,46.28,44.68
2020,2020-01-30,Kerosene,44.57,51.56,
2020,2020-01-22,Gasoline (RON97/100),49.05,59.37,54.1
2020,2020-01-22,Gasoline (RON95),44.45,57.16,53.05
2020,2020-01-22,Gasoline (RON91),44.01,57.45,51.46
2020,2020-01-22,Diesel,38.25,49.35,41.47
2020,2020-01-22,Diesel Plus,40.0,46.56,43.45
2020,2020-01-22,Kerosene,44.42,52.7,
2020,2020-01-16,Gasoline (RON97/100),50.75,60.27,54.95
2020,2020-01-16,Gasoline (RON95),45.6,58.06,53.9
2020,2020-01-16,Gasoline (RON91),44.86,58.35,51.87
2020,2020-01-16,Diesel,39.8,48.12,42.94
2020,2020-01-16,Diesel Plus,42.7,48.15,44.85
2020,2020-01-16,Kerosene,46.57,54.3,
2020,2020-01-09,Gasoline (RON97/100),50.3,60.61,54.95
2020,2020-01-09,Gasoline (RON95),46.3,58.41,53.0
2020,2020-01-09,Gasoline (RON91),45.55,57.23,51.98
2020,2020-01-09,Diesel,39.3,46.64,42.75
2020,2020-01-09,Diesel Plus,42.25,48.35,45.68
2020,2020-01-09,Kerosene,46.87,54.6,
2020,2020-01-03,Gasoline (RON97/100),50.4,59.25,56.74
2020,2020-01-03,Gasoline (RON95),46.4,57.45,53.99
2020,2020-01-03,Gasoline (RON91),45.65,57.33,52.43
2020,2020-01-03,Diesel,40.2,46.24,43.15
2020,2020-01-03,Diesel Plus,42.5,47.95,46.05
2020,2020-01-03,Kerosene,46.57,53.51,
